DocNum,DocDate,Part Number,Dscription,Quantity,U_MIS_LotNo,WhsCode
126299858,9/10/2026,1887184-00-B07,"SHAFT,DUAL,ONE WAY-B07",1130,26909D45M10,WHWIPMF2
126299857,9/10/2026,1732737-01-B04,"SHAFT, ROLLER, DUPLEX-B04",450,26909D54M11,WHWIPMF2
126299856,9/10/2026,110382203-B08,"SHAFT,CR,GUIDE-B08",597,26826C13M12,WHWIPMF2
126299855,9/10/2026,AE168021-0090-B04,SHAFT ARMATURE 1W-B04,545,26908B26M13,WHWIPMF2
126299854,9/10/2026,1906671-00-B07,"SHAFT,DRIVE,RETARD,OPT1-B07",550,26902B22M10,WHWIPMF2
126299853,9/10/2026,1754391-01-B01,"SHAFT, ROLLER, DRIVEN-B01",1000,26909C17M10,WHWIPMF2
126299852,9/10/2026,AE168021-0020-B05,SHAFT ARMATURE 1W-B05,650,26908D48M13,WHWIPMF2
126299851,9/10/2026,AE168021-0030-B05,SHAFT ARMATURE 1W-B05,600,26908B34M13,WHWIPMF2
126299850,9/10/2026,AE168021-0090-B05,SHAFT ARMATURE 1W-B05,700,26909A14M10,WHWIPMF2
126299849,9/10/2026,AE168021-0090-B05,SHAFT ARMATURE 1W-B05,700,26909B12M11,WHWIPMF2
126299848,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1650,26909B03M11,WHWIPMF2
126299847,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1600,26909B04M11,WHWIPMF2
126299846,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1650,26909B09M11,WHWIPMF2
126299845,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1650,26909B05M11,WHWIPMF2
126299844,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1600,26909B02M11,WHWIPMF2
126299843,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1100,26909B01M11,WHWIPMF2
126299842,9/10/2026,3550-KPN0-00R0-0M00-B07,BODY SEAL (BLANK)-B07,850,26909A19M12,WHWIPMF2
126299841,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1650,26909B07M11,WHWIPMF2
126299840,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1500,26909B06M11,WHWIPMF2
126299839,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1600,26909B13M11,WHWIPMF2
126299838,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1600,26909A46M12,WHWIPMF2
126299837,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1600,26909A31M11,WHWIPMF2
126299836,9/10/2026,3693-KVK1-0000-B07,KILLER MAGNET-B07,1650,26909B11M11,WHWIPMF2
126299835,9/10/2026,1732737-01-B04,"SHAFT, ROLLER, DUPLEX-B04",400,26909A07M11,WHWIPMF2
126299834,9/10/2026,1867525-01-B01,"SHAFT,PAPER GUIDE,BELT,LEFT,1ST,BAS-B01",120,26909B52M10,WHWIPMF2
126299833,9/10/2026,1867525-01-B01,"SHAFT,PAPER GUIDE,BELT,LEFT,1ST,BAS-B01",120,26909B52M10,WHWIPMF2
126299832,9/10/2026,1688441-02-B01,"SHAFT,SWING,BD-B01",50,26908D52M10,WHWIPMF2
126299831,9/10/2026,AE168021-0090-B04,SHAFT ARMATURE 1W-B04,555,26908B26M12,WHWIPMF2
126299830,9/10/2026,AE168021-0030-B04,SHAFT ARMATURE 1W-B04,495,26907B24M11,WHWIPMF2
126299829,9/10/2026,AS10/46-1B-B07,PLUNGER-B07,2000,26730B53M10,WHWIPMF2
126299828,9/10/2026,205-00579-00-B07,B7E JC BUSH 3-B07,935,26909A30M11,WHWIPMF2
126299827,9/10/2026,205-00579-00-B07,B7E JC BUSH 3-B07,955,26909A27M11,WHWIPMF2
126299826,9/10/2026,D1A-0137-00-B07,SHAFT-B07,740,26909B20M11,WHWIPMF2
126299825,9/10/2026,D1A-0137-00-B07,SHAFT-B07,610,26909B20M10,WHWIPMF2
126299824,9/10/2026,3367-KVK1-0000-B09,STOPPER NEEDLE VALVE-B09,1350,26908D09M11,WHWIPMF2
126299823,9/10/2026,3367-KVK1-0000-B09,STOPPER NEEDLE VALVE-B09,1280,26909D09M10,WHWIPMF2
126299822,9/10/2026,3367-KVK1-0000-B09,STOPPER NEEDLE VALVE-B09,1500,26908D38M11,WHWIPMF2
126299821,9/10/2026,3367-KVK1-0000-B09,STOPPER NEEDLE VALVE-B09,1270,26909D38M11,WHWIPMF2
126299820,9/10/2026,3367-KVK1-0000-B09,STOPPER NEEDLE VALVE-B09,180,26909D38M10,WHWIPMF2
126299819,9/10/2026,3367-KVK1-0000-B09,STOPPER NEEDLE VALVE-B09,530,26909D40M11,WHWIPMF2
126299818,9/10/2026,3367-KVK1-0000-B09,STOPPER NEEDLE VALVE-B09,1050,26909D40M10,WHWIPMF2
126299817,9/10/2026,3367-KVK1-0000-B09,STOPPER NEEDLE VALVE-B09,1500,26908D40M11,WHWIPMF2
126299816,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1550,26909D25M11,WHWIPMF2
126299815,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1510,26909D37M11,WHWIPMF2
126299814,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1610,26909D40M12,WHWIPMF2
126299813,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1020,26909D38M12,WHWIPMF2
126299812,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1500,26909D05M11,WHWIPMF2
126299811,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1500,26909D07M11,WHWIPMF2
126299810,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1550,26909D09M11,WHWIPMF2
126299809,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1450,26909D10M11,WHWIPMF2
126299808,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1450,26909D18M10,WHWIPMF2
126299807,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1500,26909D15M11,WHWIPMF2
126299806,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1600,26909D17M11,WHWIPMF2
126299805,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1550,26909D19M11,WHWIPMF2
126299804,9/10/2026,3367-KVK1-0000-B07,STOPPER NEEDLE VALVE-B07,1500,26909D21M11,WHWIPMF2
126299803,9/10/2026,1689166-00-B07,"SHAFT,HINGE,MOVABLE,COVER,MPT-B07",1320,26909D43M10,WHWIPMF2
126299802,9/10/2026,161668702-B08,"SHAFT,CR,GUIDE;B-B08",630,26903D46M11,WHWIPMF2
126299801,9/10/2026,1890528-00-B08,"SHAFT,PAPER GUIDE,UPPER,ADF-B08",1030,26706B23M10,WHWIPMF2
126299800,9/10/2026,41NP-NW3N-0000-A01,BODY VALVE SEAT-A01,125,26909A49100,WHWIPMF1
126299799,9/10/2026,41NP-NW3N-0000-A01,BODY VALVE SEAT-A01,30,26909A51400,WHWIPMF1
126299798,9/10/2026,41NP-NW3N-0000-A01,BODY VALVE SEAT-A01,90,26909A51300,WHWIPMF1
126299797,9/10/2026,1610844-03-B01,SHAFT COVER REAR OPT-B01,90,26909A10M10,WHWIPMF2
126299796,9/10/2026,1278054-02-B03,SHAFT CR GUIDE EXP-B03,347,26907D53M11,WHWIPMF2
126299795,9/10/2026,AE168021-0090-B04,SHAFT ARMATURE 1W-B04,1014,26908B12M11,WHWIPMF2
